Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of building
VBD45314,Bouffioulx,6200,149000.00,House,House,Sale,4,231 ,,,,False,True,,,
VBD32345,Gerpinnes,6280,320000.00,House,House,Sale,4,165 ,,False,,False,True,4,,To be renovated
VBD33527,&#xC9;pinois,7134,230000.00,House,House,Sale,2,175 ,1,False,,True,True,2,False,
VBD44848,Erquelinnes,6560,254000.00,House,Villa,Sale,5,160 ,,,,10 m²,True,4,,
VBD44847,Erquelinnes,6560,254000.00,House,House,Sale,5,160 ,,,,10 m²,True,4,,
VBD44803,Farciennes,6240,169000.00,House,MixedBuilding,Sale,3,315 ,,,,,600 m²,2,,To be renovated
VBD44518,Charleroi,6000,49000.00,Appartment,FlatStudio,Sale,1,35 ,1,False,,False,False,2,False,Normal
VBD44107,Gilly,6060,125000.00,House,House,Sale,2,100 ,,False,,False,True,,,To be renovated
VBD43559,Charleroi,6000,825.00,Appartment,Flat,Rent,2,70 ,1,False,,False,False,2,False,Fully renovated
VWD15387,La Louvi&#xE8;re,7100,149000.00,Appartment,Flat,Sale,3,100 ,,,,True,,,,
VBD42976,Aiseau-Presles,6250,359000.00,House,House,Sale,3,135 ,1,,,True,1000 m²,4,False,Normal
VWD15590,Brugelette,7940,800.00,Appartment,Flat,Rent,2,75 ,,,,,,3,,Normal
VWD15588,Marcinelle,6001,750.00,Appartment,Duplex,Rent,2,70 ,,,,,,,,Normal
VBD49621,Frameries,7080,149000.00,House,House,Sale,3,158 ,,False,,True,75 m²,2,,To be renovated
VBD49620,Honnelles,7387,134000.00,House,House,Sale,3,176 ,,False,,20 m²,250 m²,3,False,To be renovated
VBD49619,Casteau,7061,625000.00,House,Villa,Sale,7,270 ,1,,,True,True,4,,Excellent
VBD49615,Mont-sur-Marchienne,6032,110000.00,House,House,Sale,2,85 ,,False,,,True,3,False,To renovate
VBD49608,Wagnel&#xE9;e,6223,315000.00,House,House,Sale,3,159 ,,False,,25 m²,280 m²,3,False,Normal
VBD49607,Montignies-sur-Sambre,6061,249000.00,House,House,Sale,4,167 ,1,False,,15 m²,50 m²,3,False,Fully renovated
VBD49593,Dottignies,7711,309000.00,Appartment,Flat,Sale,2,,,,,10 m²,False,,,
VBD49592,Dottignies,7711,299000.00,Appartment,Flat,Sale,2,,,,,10 m²,False,,,
RBU66042,Ath,7800,165000.00,Appartment,Flat,Sale,1,93 ,1,,,False,False,2,False,Excellent
VBD49589,Marcinelle,6001,675.00,Appartment,Flat,Rent,1,56 ,,False,,True,False,,,
VWD15587,Goz&#xE9;e,6534,1030.00,House,Villa,Rent,2,140 ,,,,30 m²,700 m²,4,,Excellent
VBD49570,Tournai,7500,259000.00,House,House,Sale,2,175 ,,False,,True,False,,,
VBD49562,Mons,7000,100000.00,Appartment,Flat,Sale,1,57 ,1,,,,,2,,To be renovated
VBD49554,Hornu,7301,730.00,Appartment,Flat,Rent,,,,,,False,False,,,
VBD49552,Mons,7000,480.00,Appartment,FlatStudio,Rent,0,36 ,,False,,False,False,,,Normal
VBD49530,Pecq,7740,209000.00,House,House,Sale,3,132 ,,False,,False,True,3,,
VBD49529,Warcoing,7740,579000.00,House,House,Sale,6,317 ,,False,,True,True,4,,
VBD49528,Antoing,7640,75000.00,House,House,Sale,3,115 ,,False,,False,True,2,,To be renovated
VBD49527,Tournai,7500,398000.00,Appartment,Flat,Sale,3,124 ,,False,,True,False,2,,
VBD49526,P&#xE9;ruwelz,7600,105000.00,House,House,Sale,3,134 ,,False,,False,False,2,,
VBD49524,Amougies,7750,249000.00,House,House,Sale,2,125 ,,False,,False,False,,,
VBD49521,Godarville,7160,179999.00,House,House,Sale,2,113 ,1,False,,True,True,3,False,Normal
VBD49520,Mouscron,7700,229000.00,House,House,Sale,3,156 ,,False,,21 m²,120 m²,2,,Normal
VBD49519,Herseaux,7712,500.00,Appartment,Flat,Rent,1,70 ,,False,,False,False,,,
VBD49514,Tournai,7500,685.00,Appartment,Flat,Rent,1,65 ,,False,,False,False,2,,Excellent
VBD49510,Genly,7040,430000.00,House,House,Sale,5,399 ,,False,,63 m²,533 m²,3,,Normal
VBD49428,Courcelles,6180,225000.00,House,House,Sale,4,152 ,1,False,,35 m²,1840 m²,3,False,To renovate
VBD49427,Marcinelle,6001,875.00,Appartment,Duplex,Rent,3,110 ,1,,,False,False,,,Excellent
VBD49426,Houdeng-Aimeries,7110,260000.00,House,MasterHouse,Sale,7,359 ,1,False,,True,True,,,To renovate
VBD49425,Houdeng-Aimeries,7110,325000.00,House,MasterHouse,Sale,11,746 ,1,False,,True,True,,,To renovate
VBD49415,Roisin,7387,199000.00,House,House,Sale,3,100 ,,,,True,True,3,,New
VBD49360,Ecaussinnes,7190,40000.00,House,Bungalow,Sale,2,130 ,1,,,1 m²,977 m²,4,False,Normal
VBD49347,Braine-le-Comte,7090,850.00,House,House,Rent,3,75 ,1,False,,False,False,2,False,Fully renovated
VBD49346,Braine-le-Comte,7090,550.00,Appartment,FlatStudio,Rent,1,30 ,1,False,,False,False,,False,Excellent
VBD49329,Erpion,6441,125000.00,Appartment,Flat,Sale,1,50 ,,False,,11 m²,True,,True,Normal
VBD49307,La Louvi&#xE8;re,7100,575000.00,House,MixedBuilding,Sale,2,,,False,,,,2,,
VBD49294,Gilly,6060,170000.00,House,House,Sale,2,128 ,,False,,False,149 m²,3,False,Normal
VBD49281,Quaregnon,7390,225000.00,House,House,Sale,4,170 ,,False,,True,130 m²,2,,
VBD49261,Mont-sur-Marchienne,6032,349000.00,House,House,Sale,4,263 ,,False,,53 m²,False,2,,Normal
VBD49258,Baudour,7331,450000.00,House,House,Sale,4,278 ,,False,,True,True,4,,
VBD49255,Tournai,7500,360000.00,House,House,Sale,4,260 ,,False,,True,True,2,,Normal
VBD49244,Herseaux,7712,215000.00,House,House,Sale,1,,,,,,,4,,To restore
VBD49233,Antoing,7640,45000.00,House,House,Sale,2,87 ,,,,False,False,2,,To be renovated
VBD49231,Ath,7800,290000.00,House,House,Sale,3,138 ,,False,,True,False,2,,Normal
VBD49229,Marcinelle,6001,195000.00,Appartment,Flat,Sale,2,102 ,1,,,8 m²,False,2,False,Excellent
VBD49215,Presles,6250,499000.00,House,Villa,Sale,5,269 ,1,,,100 m²,100 m²,4,True,Excellent
VBD49214,Ch&#xE2;telet,6200,69000.00,Appartment,Flat,Sale,1,,1,,,,,,,
VBD49213,Gilly,6060,99000.00,Appartment,Flat,Sale,2,71 ,,,,,,,,To renovate
VBD49211,Dottignies,7711,275000.00,House,House,Sale,3,124 ,1,False,,True,121 m²,3,False,Normal
VBD49209,Monceau-sur-Sambre,6031,179000.00,House,House,Sale,2,92 ,,False,,14 m²,126 m²,2,,To renovate
VBD49208,&#xC9;caussinnes-d&#x27;Enghien,7190,290000.00,House,House,Sale,3,,,,,False,True,,,
VBD49207,Aiseau-Presles,6250,369000.00,House,Villa,Sale,3,210 ,1,False,,False,700 m²,4,False,Excellent
VBD49203,Couillet,6010,925.00,House,House,Rent,3,228 ,,False,,True,True,2,,Normal
VBD49202,Marcinelle,6001,249000.00,House,House,Sale,4,183 ,,False,,False,True,4,,Normal
VBD49193,Blandain,7522,315000.00,House,House,Sale,5,179 ,1,False,,20 m²,350 m²,2,True,Excellent
