Price per m2,count
2500.0,21
3000.0,19
3500.0,15
2333.333333333333,14
1666.6666666666667,14
3333.333333333333,14
2000.0,13
2250.0,13
1500.0,13
2083.333333333333,12
2600.0,12
1250.0,11
4333.333333333333,10
5000.0,9
3750.0,9
1875.0,8
2750.0,8
2833.333333333333,7
3125.0,7
2375.0,7
2142.8571428571427,7
1300.0,7
2187.5,7
1333.3333333333333,7
4285.714285714285,7
2916.6666666666665,7
3093.75,6
2200.0,6
3800.0,6
3400.0,6
4230.769230769231,6
1750.0,6
1000.0,6
3266.6666666666665,6
1818.1818181818185,6
1833.3333333333333,6
2362.5,6
4166.666666666667,6
1966.6666666666667,6
2727.2727272727275,6
2625.0,6
4000.0,6
2272.7272727272725,6
1625.0,5
1521.7391304347825,5
2241.3793103448274,5
3888.8888888888887,5
1718.75,5
2666.6666666666665,5
3823.529411764706,5
2818.181818181818,5
2291.6666666666665,5
1437.5,5
2692.3076923076924,5
2125.0,5
1235.2941176470588,5
1923.076923076923,5
2490.0,5
3235.294117647059,5
3437.5,5
2090.909090909091,5
1375.0,5
1400.0,5
1967.1052631578948,5
3461.538461538461,5
2400.0,5
3166.6666666666665,5
3214.285714285714,5
1490.0,5
3409.090909090909,5
1857.142857142857,5
1475.0,5
1805.555555555556,5
1607.142857142857,5
3181.818181818182,5
3100.0,5
4500.0,5
2812.5,5
4090.909090909091,5
2326.6666666666665,4
3285.714285714286,4
2964.285714285714,4
2222.222222222222,4
3397.7272727272725,4
1450.0,4
1964.2857142857144,4
3041.237113402062,4
1687.5,4
2156.86274509804,4
1850.0,4
2520.0,4
1928.571428571429,4
3147.368421052632,4
2133.333333333333,4
2052.6315789473683,4
3180.0,4
3064.0073529411766,4
3454.5454545454545,4
3737.864077669903,4
2800.0,4
3250.0,4
1571.428571428571,4
2794.1176470588234,4
1853.9325842696628,4
2350.0,4
3600.0,4
2737.5,4
1318.6813186813188,4
4382.35294117647,4
1458.3333333333333,4
1575.0,4
2709.6774193548385,4
1200.0,4
1583.3333333333333,4
1924.731182795699,4
2166.6666666666665,4
3833.3333333333335,4
2923.076923076923,4
1315.7894736842106,4
2285.714285714286,4
2096.7741935483878,4
2450.0,4
2642.8571428571427,4
2100.0,4
750.0,4
2458.333333333333,4
4277.777777777777,4
4300.0,4
1125.0,4
2700.0,4
2824.324324324324,4
1842.1052631578948,4
2058.823529411765,4
2368.4210526315787,4
1900.0,4
2045.4545454545453,4
4100.0,4
1843.75,4
3666.6666666666665,4
2300.0,4
500.0,4
2687.5,4
2732.934131736527,4
2937.5,4
2875.0,4
2460.31746031746,3
2908.333333333333,3
1328.358208955224,3
2777.777777777778,3
3705.8823529411766,3
2312.5,3
3326.6666666666665,3
2806.122448979592,3
1956.5217391304348,3
1421.428571428571,3
1916.6666666666667,3
1764.7058823529412,3
2663.934426229508,3
1730.4347826086955,3
1541.0958904109589,3
1734.6938775510205,3
2640.845070422535,3
2546.5116279069766,3
1698.8636363636365,3
4224.598930481284,3
2761.904761904762,3
2846.153846153846,3
3251.851851851852,3
2050.6912442396315,3
2726.027397260274,3
1901.4084507042253,3
4411.764705882353,3
1866.6666666666667,3
2983.333333333333,3
3442.3076923076924,3
3372.093023255814,3
1736.842105263158,3
3733.7662337662337,3
1968.75,3
1365.8536585365853,3
3026.315789473684,3
5625.0,3
5300.884955752213,3
2682.9268292682927,3
2307.692307692308,3
1617.6470588235295,3
2433.333333333333,3
4474.358974358975,3
3495.575221238938,3
2660.0,3
3900.0,3
2461.538461538461,3
3737.5,3
2622.6415094339623,3
3586.6666666666665,3
3071.428571428572,3
3303.5714285714284,3
2158.333333333333,3
1642.857142857143,3
3909.090909090909,3
1350.0,3
1428.571428571429,3
3117.6470588235293,3
2860.0,3
2926.470588235294,3
3357.1428571428573,3
1758.8235294117646,3
1477.2727272727273,3
2393.333333333333,3
2155.1724137931037,3
1941.1764705882356,3
3048.7804878048782,3
2684.6153846153848,3
1544.7154471544716,3
1892.857142857143,3
2565.217391304348,3
2847.619047619048,3
2718.181818181818,3
3390.8045977011493,3
3608.695652173913,3
2192.3076923076924,3
3906.25,3
2437.5,3
2111.1111111111118,3
3093.0232558139537,3
3802.0833333333335,3
3583.333333333333,3
3316.6666666666665,3
3090.909090909091,3
4077.692307692308,3
3080.246913580247,3
2440.828402366864,3
2423.076923076923,3
2862.0689655172414,3
1363.6363636363635,3
3716.216216216216,3
2765.9574468085107,3
2361.842105263158,3
3846.153846153846,3
2720.0,3
1809.090909090909,3
3174.299212598425,3
1464.2857142857142,3
3571.428571428572,3
4200.0,3
3431.372549019608,3
4156.25,3
1383.3333333333333,3
3055.555555555556,3
2647.058823529412,3
2384.6153846153848,3
1562.5,3
1692.3076923076924,3
3444.4444444444443,3
2368.75,3
2062.5,3
3808.510638297872,3
1917.5824175824173,3
3020.2020202020203,3
3780.487804878049,3
1050.0,3
2271.428571428572,3
1771.6535433070867,3
3172.7272727272725,3
2447.852760736196,3
2475.0,3
2906.25,3
1954.248366013072,3
3036.5853658536585,3
2617.6470588235293,3
1829.2682926829268,3
2146.7391304347825,3
2407.4074074074074,3
1796.0,3
2614.035087719298,3
3387.0967741935483,3
1295.6521739130435,3
2146.153846153846,3
2469.879518072289,3
2516.4835164835163,3
1791.6666666666667,3
3363.6363636363635,3
3586.9565217391305,3
4062.5,3
4289.473684210527,3
1885.1351351351352,3
2056.962025316456,3
5674.518201284796,3
4900.0,3
2980.769230769231,3
1384.6153846153843,3
1100.0,3
1083.3333333333333,3
1893.2038834951456,3
1774.1935483870968,3
1166.6666666666667,3
1969.6969696969695,3
1745.0,3
1550.0,3
1394.3661971830986,3
4889.705882352941,3
6402.439024390244,3
2052.9411764705883,3
1800.0,3
2153.846153846154,3
2210.8843537414964,3
1990.0,3
1911.764705882353,3
1600.0,3
1615.3846153846157,3
2076.923076923077,3
1416.6666666666667,3
3375.0,2
2543.103448275862,2
3787.878787878788,2
4113.40206185567,2
2815.217391304348,2
1633.3333333333333,2
1532.258064516129,2
2205.194805194805,2
1789.7435897435898,2
3222.222222222222,2
2838.095238095238,2
2851.648351648352,2
2561.904761904762,2
3076.923076923077,2
4666.666666666667,2
1868.75,2
3321.428571428572,2
1700.854700854701,2
2565.7894736842104,2
2067.66917293233,2
2794.392523364486,2
1636.3636363636365,2
1994.2857142857144,2
2428.5714285714284,2
1523.076923076923,2
3685.714285714286,2
2598.0392156862745,2
1965.5172413793105,2
4016.393442622951,2
3950.0,2
1594.5945945945946,2
1947.368421052632,2
2343.75,2
3331.6666666666665,2
1263.157894736842,2
2882.3529411764707,2
3327.777777777778,2
2212.962962962963,2
2668.5393258426966,2
3473.684210526316,2
3857.142857142857,2
2067.0731707317077,2
2346.153846153846,2
929.6875,2
1759.7765363128492,2
2171.428571428572,2
638.2978723404256,2
2525.3164556962024,2
1728.9719626168223,2
