Price,count
299000,143
349000,100
275000,99
295000,97
399000,92
249000,91
325000,89
199000,82
225000,75
195000,74
495000,68
395000,67
175000,67
375000,65
250000,60
315000,58
245000,57
179000,56
350000,55
425000,54
229000,53
259000,53
185000,53
279000,52
285000,52
499000,51
450000,51
239000,50
215000,49
189000,48
385000,48
165000,47
320000,47
319000,46
235000,46
449000,46
269000,45
149000,45
265000,43
595000,42
219000,42
260000,41
290000,41
379000,41
345000,40
365000,40
475000,39
135000,38
310000,38
169000,38
210000,37
160000,37
159000,37
125000,36
369000,36
389000,35
270000,34
695000,33
220000,32
180000,31
289000,31
359000,31
230000,31
415000,31
280000,30
329000,30
795000,30
335000,29
145000,28
549000,28
300000,28
129000,28
170000,27
110000,27
209000,27
240000,26
420000,26
440000,26
360000,26
99000,26
445000,25
339000,24
439000,24
330000,23
550000,23
130000,23
150000,23
200000,23
190000,23
575000,23
485000,23
599000,22
895000,22
650000,22
155000,22
390000,21
298000,21
340000,21
525000,21
489000,20
140000,20
205000,20
465000,20
419000,20
429000,20
115000,19
105000,19
995000,19
430000,19
545000,19
649000,19
469000,18
255000,18
120000,18
109000,18
309000,18
675000,18
380000,18
398000,17
95000,17
139000,17
355000,16
435000,16
410000,16
625000,16
460000,16
370000,15
119000,15
560000,15
90000,14
198000,14
645000,14
540000,14
530000,14
750000,14
775000,14
535000,13
490000,13
480000,13
479000,13
590000,13
585000,12
500000,12
305000,12
749000,12
459000,11
850000,11
520000,11
100000,11
89000,11
699000,10
405000,10
665000,10
950000,10
725000,10
1490000,10
1250000,9
790000,9
400000,9
79000,9
75000,9
680000,9
899000,9
1195000,9
1290000,8
690000,8
770000,8
238000,8
745000,8
470000,8
569000,8
825000,8
620000,7
85000,7
1150000,7
635000,7
1495000,7
1095000,7
374000,7
539000,7
1950000,7
565000,7
579000,7
158000,6
548000,6
80000,6
358000,6
849000,6
655000,6
660000,6
735000,6
199900,6
519000,6
299900,6
875000,6
373000,6
1200000,6
640000,6
990000,6
247000,6
785000,6
580000,6
570000,6
364000,6
368000,5
197000,5
610000,5
314000,5
264000,5
679000,5
258000,5
1295000,5
1100000,5
629000,5
498000,5
685000,5
263000,5
529000,5
630000,5
224000,5
600000,5
890000,5
249500,5
980000,5
387000,5
446000,5
1395000,5
885000,5
299500,5
409000,5
156000,5
1650000,5
515000,5
248000,5
348000,5
1050000,4
416705,4
59000,4
288000,4
192000,4
505000,4
1225000,4
798000,4
434000,4
428000,4
148000,4
454000,4
65000,4
1850000,4
1350000,4
510000,4
174000,4
327500,4
975000,4
1300000,4
2450000,4
455000,4
456400,4
297000,4
1600000,4
229500,4
449500,4
830000,4
384000,4
1190000,4
257000,4
324000,4
265050,4
40000,4
60000,4
70000,4
254000,4
189900,4
700000,4
1750000,4
168000,4
800000,4
497000,4
69000,4
338000,4
45000,4
292000,3
297500,3
301000,3
333000,3
381000,3
354000,3
1895000,3
177000,3
945000,3
2290000,3
137000,3
1500000,3
689000,3
397000,3
401500,3
1840000,3
363000,3
476000,3
845000,3
740000,3
479500,3
1280000,3
376000,3
437000,3
243000,3
407000,3
344000,3
458000,3
274000,3
348800,3
729000,3
394000,3
262000,3
403136,3
2950000,3
730000,3
468000,3
414000,3
769000,3
332000,3
799000,3
214000,3
274900,3
555000,3
157000,3
319900,3
266000,3
949000,3
2650000,3
239500,3
1075000,3
598000,3
268000,3
267000,3
334000,2
925000,2
404000,2
323000,2
424600,2
349500,2
274500,2
468923,2
386000,2
482500,2
317000,2
212000,2
411000,2
174900,2
293000,2
327000,2
2500000,2
249999,2
705000,2
970000,2
287500,2
149500,2
299950,2
1030000,2
2350000,2
269900,2
229900,2
236000,2
499900,2
1550000,2
1099000,2
397964,2
289800,2
3050000,2
898000,2
780000,2
4950000,2
1795000,2
429210,2
530328,2
318000,2
304000,2
1575000,2
1175000,2
382000,2
672000,2
615000,2
960000,2
278000,2
308000,2
169500,2
177500,2
359900,2
391000,2
50000,2
407500,2
1595000,2
138000,2
639000,2
299800,2
424000,2
63950,2
266500,2
332500,2
389200,2
436000,2
167000,2
97000,2
208000,2
244000,2
347500,2
187500,2
273000,2
295020,2
2900000,2
498500,2
399500,2
1345000,2
1245000,2
870000,2
1995000,2
829000,2
284000,2
471000,2
368919,2
1900000,2
399900,2
1275000,2
955000,2
117000,2
472000,2
339500,2
49000,2
267500,2
536000,2
494500,2
473000,2
277000,2
367000,2
202000,2
217000,2
261000,2
129900,2
435800,2
1450000,2
219900,2
426000,2
134000,2
238500,2
279500,2
147000,2
39000,2
319500,2
1399000,2
79900,2
393000,2
427000,2
183000,2
284100,2
285800,2
698000,2
835000,2
2200000,2
98000,2
2250000,2
94500,2
797000,2
35000,2
30000,2
264500,2
424500,2
461000,1
84500,1
384590,1
385088,1
